Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Index,Unmatched (Index),"Ferrerio, Andrea",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Ferretti, Gian Domenico",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Feti, Domenico",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Filomarino, Cardinal",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Fiori, Mario de' (Mario Nuzzi)",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Flemish artists in Rome,E74 Group,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Florence,E53 Place,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Foggini, Giovan Battista",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Fontana, Conte Francesco",E53 Place,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Fontenelle,E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Foscarini family,E74 Group,,,,F,Unmatched Index Entry
Index,Unmatched (Index),Foscarini palace,E22 Man-Made Object,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Fountaine, Sir Andrew",E22 Man-Made Object,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Fragonard, Jean Honoré",E21 Person,,,,F,Unmatched Index Entry
Index,Unmatched (Index),"Francavilla, Pietro",E22 Man-Made Object,,,,F,Unmatched Index Entry
Index,Unmatched (Index),François I of France,E53 Place,,,,F,Unmatched Index Entry
