Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Correggio,/,sponsored,Antiope,/,385
Correggio,/,sponsored,Marriage of St Catherine,/,386
"Correr, Teodoro",/,sponsored,collections,/,389
"Correr, Teodoro",/,sponsored,interest in history of Venice,/,390
"Correr, Teodoro",/,created,paintings by P. Longhi,/,391
"Correr, Teodoro",/,created,drawings by P. Longhi,/,391
"Corsini, Lorenzo",/,is,Pope Clement XII,/,393
Corsini family,/,located_in,Florence,/,394
"Cortona, Pietro da",/,refer_to,"Berrettini, Pietro",/,395
"Cortese, Giacomo",/,refer_to,Borgognone,/,398
"Cortese, Giacomo",/,refer_to,Giacomo,/,398
"Cortese, Giacomo",/,refer_to,Guglielmo,/,398
"Cortese, Guglielmo",/,refer_to,Borgognone,/,398
"Cortese, Guglielmo",/,refer_to,Giacomo,/,398
"Cortese, Guglielmo",/,refer_to,Guglielmo,/,398
"Courtois, Jacques",/,refer_to,Borgognone,/,399
"Courtois, Jacques",/,refer_to,Giacomo,/,399
"Courtois, Jacques",/,refer_to,Guglielmo,/,399
"Courtois, Guillaume",/,refer_to,Borgognone,/,399
"Courtois, Guillaume",/,refer_to,Giacomo,/,399
"Courtois, Guillaume",/,refer_to,Guglielmo,/,399
Cremonese,/,refer_to,"Bassi, Francesco",/,402
"Crespi, Giuseppe Maria",/,collaborated_on,G. Ricci,/,407
"Crespi, Giuseppe Maria",/,collaborated_on,Grand Prince Ferdinand,/,408
"Crespi, Giuseppe Maria",/,sponsored,Children at Play,/,409
"Crespi, Giuseppe Maria",/,sponsored,copy of Guercino St William of Aquitaine,/,410
"Crespi, Giuseppe Maria",/,sponsored,Confession,/,411
"Crespi, Giuseppe Maria",/,sponsored,Ecstasy of St Margaret,/,412
"Crespi, Giuseppe Maria",/,sponsored,Fair at Poggio a Caiano,/,413
"Crespi, Giuseppe Maria",/,sponsored,Infant Jupiter handed over by Cybele to the Corybantes (The Finding of Moses),/,414
"Crespi, Giuseppe Maria",/,sponsored,Leto turning the Shepherds into Frogs,/,415
"Crespi, Giuseppe Maria",/,sponsored,Marriage at Cana,/,416
"Crespi, Giuseppe Maria",/,sponsored,Massacre of the Innocents,/,417
"Crespi, Giuseppe Maria",/,sponsored,Nativity,/,418
"Crespi, Giuseppe Maria",/,sponsored,Painter's Family,/,419
"Crespi, Giuseppe Maria",/,sponsored,satirical picture of Don Carlo Silva,/,420
"Crespi, Giuseppe Maria",/,sponsored,Selfportrait,/,421
"Crespi, Giuseppe Maria",/,sponsored,Women washing their Laundry at a Fountain,/,422
"Crespi, Giuseppe Maria",/,created,"work for S. Paolo d'Argan, Bergamo",/,423
"work for S. Paolo d'Argan, Bergamo",/,intended_for,S. Paolo d,/,423
"Creti, Donato",/,sponsored,Dance of Nymphs,/,425
"Creti, Donato",/,created,work for Cardinal Tommaso Ruffo,/,426
work for Cardinal Tommaso Ruffo,/,intended_for,Cardinal Tommaso Ruffo,/,426
"Critics, Roman",/,sponsored,late 17th century,/,427
"Crozat, Pierre",/,sponsored,patronage of Venetian artists,/,430
