Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Berrettini, Pietro",/,is,Pietro da Cortona,/,197
"Berrettini, Pietro",/,created,copying of Raphael,/,197
"Berrettini, Pietro",/,created,copying of Titian for Sacchetti,/,197
copying of Titian for Sacchetti,/,intended_for,Sacchetti,/,197
"Berrettini, Pietro",/,is,Pietro da Cortona,/,198
"Berrettini, Pietro",/,created,decoration of Barberini palace,/,198
"Berrettini, Pietro",/,is,Pietro da Cortona,/,199
"Berrettini, Pietro",/,sponsored,Finding of Romulus,/,199
"Berrettini, Pietro",/,sponsored,Finding of Remus,/,199
"Berrettini, Pietro",/,is,Pietro da Cortona,/,200
"Berrettini, Pietro",/,sponsored,Forge of Vulcan,/,200
"Berrettini, Pietro",/,is,Pietro da Cortona,/,201
frescoes in Pamfili palace,/,located_in,Pamfili palace,/,201
"Berrettini, Pietro",/,created,frescoes in Pamfili palace,/,201
"Berrettini, Pietro",/,is,Pietro da Cortona,/,202
"Berrettini, Pietro",/,sponsored,Madonna,/,202
"Berrettini, Pietro",/,sponsored,Child,/,202
"Berrettini, Pietro",/,is,Pietro da Cortona,/,203
"Berrettini, Pietro",/,created,plans for Louvre,/,203
plans for Louvre,/,intended_for,Louvre,/,203
"Berrettini, Pietro",/,is,Pietro da Cortona,/,204
"Berrettini, Pietro",/,sponsored,refusal to choose own subjects,/,204
"Berrettini, Pietro",/,is,Pietro da Cortona,/,205
"Berrettini, Pietro",/,sponsored,Sacrifice of Polyxena,/,205
"Berrettini, Pietro",/,is,Pietro da Cortona,/,206
St Philip in Ecstasy,/,located_in,Ecstasy,/,206
"Berrettini, Pietro",/,sponsored,St Philip in Ecstasy,/,206
"Berrettini, Pietro",/,is,Pietro da Cortona,/,207
"Berrettini, Pietro",/,sponsored,Scenes from the Aeneid,/,207
"Berrettini, Pietro",/,is,Pietro da Cortona,/,208
"Berrettini, Pietro",/,sponsored,Sibyl announcing the Birth of Christ,/,208
"Berrettini, Pietro",/,is,Pietro da Cortona,/,209
theatre in Barberini palace,/,located_in,Barberini palace,/,209
"Berrettini, Pietro",/,sponsored,theatre in Barberini palace,/,209
"Berrettini, Pietro",/,is,Pietro da Cortona,/,210
"Berrettini, Pietro",/,sponsored,Triumph of Bacchus,/,210
"Berrettini, Pietro",/,is,Pietro da Cortona,/,211
"Berrettini, Pietro",/,created,work for Sacchetti,/,211
work for Sacchetti,/,intended_for,Sacchetti,/,211
"Berrettini, Pietro",/,is,Pietro da Cortona,/,212
work in Chiesa Nuova,/,located_in,Chiesa Nuova,/,212
"Berrettini, Pietro",/,created,work in Chiesa Nuova,/,212
"Berrettini, Pietro",/,is,Pietro da Cortona,/,213
work in Pitti palace,/,located_in,Pitti palace,/,213
"Berrettini, Pietro",/,created,work in Pitti palace,/,213
"Berrettini, Pietro",/,is,Pietro da Cortona,/,214
"Berrettini, Pietro",/,sponsored,Xenophon sacrificing to Diana,/,214
"Bettinelli, Saverio",/,sponsored,Dell'entusiasmo per le Belle Arti,/,218
"work in Archbishop's Palace, Ferrara",/,located_in,Archbishop,/,223
"Bigari, Vittorio",/,created,"work in Archbishop's Palace, Ferrara",/,223
Bologna,/,sponsored,senatorial families,/,230
Bombelli Sebastiano,/,created,portraits of Stefano Conti,/,232
Bombelli Sebastiano,/,created,portraits of his family,/,232
"Boncampagni, Ugo",/,is,Pope Gregory XIII,/,234
Bonfiglioli collection,/,located_in,Bologna,/,235
"Boni, Giacomo Antonio",/,created,Virgil 'portrait' for Prince Eugene of Savoy,/,237
Virgil 'portrait' for Prince Eugene of Savoy,/,intended_for,Prince Eugene of Savoy,/,237
Book illustration,/,located_in,Venice,/,238
Book illustration,/,sponsored,in the 18th century,/,238
"Borghese, Camillo",/,is,Pope Paul V,/,241
"Borghese, Cardinal Scipione",/,sponsored,Bernini busts of,/,243
"Borghese, Cardinal Scipione",/,sponsored,collection,/,244
"Borghese, Cardinal Scipione",/,sponsored,confiscation of d'Arpino pictures,/,245
Borghese Palace,/,located_in,Rome,/,246
"Borgognone, Giacomo",/,is,Jacques Courtois,/,247
"Borgognone, Giacomo",/,is,Jacques Courtois,/,248
"Borgognone, Giacomo",/,created,drawings for tribune of Gesù,/,248
"Borgognone, Guglielmo",/,is,Guillaume Courtois,/,249
"Borgognone, Guglielmo",/,is,Guillaume Courtois,/,250
"Borgognone, Guglielmo",/,sponsored,Martyrdom of St Andrew,/,250
"Borromini, Francesco",/,collaborated_on,Oratorians,/,253
"Borromini, Francesco",/,collaborated_on,Pope Innocent X,/,254
Scalzi church in Rome,/,located_in,Rome,/,255
"Borromini, Francesco",/,sponsored,Scalzi church in Rome,/,255
"Borromini, Francesco",/,created,work on the Oratorio,/,256
"Borromini, Francesco",/,created,work on Spada palace,/,257
"Boschini, Marco",/,sponsored,Ricche Miniere,/,261
"Boucher, François",/,collaborated_on,Count Tessin,/,270
"Boucher, François",/,created,designs for Tombeaux des Princes,/,271
designs for Tombeaux des Princes,/,intended_for,Tombeaux des Princes,/,271
"Bracci, Pietro",/,sponsored,Annunciation,/,273
"Bracciano, Paolo Giordona II Orsini, Duke of",/,collaborated_on,Claude,/,277
"Bracciano, Paolo Giordona II Orsini, Duke of",/,collaborated_on,van den Hecke,/,278
"Bracciano, Paolo Giordona II Orsini, Duke of",/,collaborated_on,Pietro Tacca,/,279
"Bracciano, Paolo Giordona II Orsini, Duke of",/,collaborated_on,Podestà,/,280
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,Bernini head,/,281
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,medal,/,281
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,bust,/,281
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,commissions to Bernini and Tacca,/,282
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,correspondence with Queen Christina of Sweden,/,283
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,Leoni etching,/,284
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,love of music,/,285
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,love of spectacle,/,285
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,medal collecting,/,286
"Bracciano, Paolo Giordona II Orsini, Duke of",/,sponsored,poetry,/,287
"Bracciolini, Francesco",/,sponsored,L'elettione di Urbano VIII,/,289
plan for ceiling in Barberini palace,/,located_in,Barberini palace,/,290
"Bracciolini, Francesco",/,sponsored,plan for ceiling in Barberini palace,/,290
"Brandi, Giacinto",/,sponsored,letters relating to S. Andrea al Quirinale altarpieces,/,295
"Brugiori, Domenico",/,sponsored,Cain,/,305
"Brugiori, Domenico",/,sponsored,Abel,/,305
"Brusoni, Girolamo",/,sponsored,Allori d'Eurota,/,310
"Brydges, Grey",/,refer_to,"Chandos, Lord",/,312
"Buonaccorsi, Raimondo",/,sponsored,commissioning of paintings of stories from the Aeneid,/,317
"Burlington, Lord",/,sponsored,house at Chiswick,/,320
